アニメシリーズID,メディア,タイトル,よみがな,開始年月日,終了年月日,放送局／劇場／販売元,原作,uri
ANS000020900,劇場,少年忍者 風のフジ丸 大猿退治,ショウネンニンジャカゼノフジマル　オオザルタイジ,1965/07/24,-,東映,白土三平,http://mediaarts-db.jp/an/anime_series/325
ANS000020700,TV,鉄人28号（第2期）,テツジンニジュウハチゴウ,1965/09/01,1966/05/25,フジテレビ,原作／横山光輝　雑誌「少年」連載,http://mediaarts-db.jp/an/anime_series/321
ANS000021000,TV,おそ松くん,オソマツクン,1966/02/05,1967/03/25,毎日放送,原作/赤塚不二夫 連載/少年サンデー、ボーイズライフ,http://mediaarts-db.jp/an/anime_series/327
ANS000021200,TV,レインボー戦隊ロビン,レインボーセンタイロビン,1966/04/23,1967/03/31,NET,原案構成/スタジオ・ゼロ 「冒険王」連載,http://mediaarts-db.jp/an/anime_series/329
ANS000021300,TV,海賊王子,カイゾクオウジ,1966/05/02,1966/11/28,NET,原案/石森章太郎 （週刊「少年キング」連載）,http://mediaarts-db.jp/an/anime_series/331
ANS000021400,TV,ハリスの旋風,ハリスノカゼ,1966/05/05,1967/08/31,フジテレビ,原作/ちばてつや 週刊「少年マガジン」連載,http://mediaarts-db.jp/an/anime_series/333
ANS000021500,TV,遊星仮面,ユウセイカメン,1966/06/03,1967/03/28,フジテレビ系,原作/仁田信夫■原画/楠高治,http://mediaarts-db.jp/an/anime_series/335
ANS000021800,劇場,ジャングル大帝,ジャングルタイテイ,1966/07/31,-,東宝,原作／手塚治虫,http://mediaarts-db.jp/an/anime_series/339
ANS000021600,劇場,サイボーグ009,サイボーグゼロゼロナイン,1966/07/21,-,東映,原作／石森章太郎　週刊「少年キング」連載,http://mediaarts-db.jp/an/anime_series/337
ANS000022000,TV,ジャングル大帝進めレオ!,ジャングルタイテイ ススメレオ!,1966/10/05,1967/03/29,フジテレビ,原作/手塚治虫,http://mediaarts-db.jp/an/anime_series/343
ANS000022100,TV,がんばれ!マリンキッド,ガンバレ!マリンキッド,1966/10/06,1966/12/29,TBS,原作/「ドルフィン王子」より,http://mediaarts-db.jp/an/anime_series/345
ANS000021900,TV,ロボタン,ロボタン,1966/10/04,1968/09/27,フジテレビ,キャラクター原案、漫画原作/森田拳次,http://mediaarts-db.jp/an/anime_series/341
ANS000022200,TV,とびだせ!バッチリ,トビダセバッチリ,1966/11/14,1967/04/15,日本テレビ,原作/岡本光輝,http://mediaarts-db.jp/an/anime_series/347
ANS000022300,TV,魔法使いサリー,マホウツカイサリー,1966/12/05,1968/12/30,NET,原作/横山光輝 （「りぼん」連載）,http://mediaarts-db.jp/an/anime_series/349
ANS000022400,TV,ものしり大学明日のカレンダー,キリンモノシリダイガク　アシタノカレンダー,1966/07/01,1970/08/02,毎日放送,-,http://mediaarts-db.jp/an/anime_series/351
ANS000022600,劇場,つるのおんがえし,ツルノオンガエシ,1966/07/31,-,東宝,NULL,http://mediaarts-db.jp/an/anime_series/355
ANS000022500,TV,世界の王者キングコング大会,セカイノオウジャ　キング・コングタイカイ,1966/12/31,-,NET,-,http://mediaarts-db.jp/an/anime_series/353
